,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
364,Por fusión,2016,"04 Balears, Illes",60
365,Por fusión,2016,05 Canarias,48
366,Por fusión,2016,06 Canarias,11
367,Por fusión,2016,07 Castilla y León,74
368,Por fusión,2016,08 Castilla-La Mancha,38
369,Por fusión,2016,09 Cataluña,188
370,Por fusión,2016,10 Comunitat Valenciana,175
371,Por fusión,2016,11 Extremadura,21
372,Por fusión,2016,12 Galicia,87
373,Por fusión,2016,"13 Madrid, Comunidad de",1015
374,Por fusión,2016,"14 Murcia, Región de",34
375,Por fusión,2016,"15 Navarra, Comunidad Foral de",66
376,Por fusión,2016,16 País Vasco,162
377,Por fusión,2016,"17 Rioja, La",11
378,Por fusión,2016,18 Ceuta,1
379,Por fusión,2016,19 Melilla,0
380,Voluntaria,2016,01 Andalucía,2456
381,Voluntaria,2016,02 Aragón,584
382,Voluntaria,2016,"03 Asturias, Principado de",324
383,Voluntaria,2016,"04 Balears, Illes",713
384,Voluntaria,2016,05 Canarias,663
385,Voluntaria,2016,06 Canarias,201
386,Voluntaria,2016,07 Castilla y León,904
387,Voluntaria,2016,08 Castilla-La Mancha,245
388,Voluntaria,2016,09 Cataluña,1219
389,Voluntaria,2016,10 Comunitat Valenciana,1099
390,Voluntaria,2016,11 Extremadura,248
391,Voluntaria,2016,12 Galicia,1206
392,Voluntaria,2016,"13 Madrid, Comunidad de",4361
393,Voluntaria,2016,"14 Murcia, Región de",127
394,Voluntaria,2016,"15 Navarra, Comunidad Foral de",8
395,Voluntaria,2016,16 País Vasco,1057
396,Voluntaria,2016,"17 Rioja, La",133
397,Voluntaria,2016,18 Ceuta,16
398,Voluntaria,2016,19 Melilla,14
399,Otras,2015,01 Andalucía,501
400,Otras,2015,02 Aragón,172
401,Otras,2015,"03 Asturias, Principado de",101
402,Otras,2015,"04 Balears, Illes",87
403,Otras,2015,05 Canarias,112
404,Otras,2015,06 Canarias,38
405,Otras,2015,07 Castilla y León,142
406,Otras,2015,08 Castilla-La Mancha,131
407,Otras,2015,09 Cataluña,877
408,Otras,2015,10 Comunitat Valenciana,585
409,Otras,2015,11 Extremadura,63
410,Otras,2015,12 Galicia,242
411,Otras,2015,"13 Madrid, Comunidad de",636
412,Otras,2015,"14 Murcia, Región de",145
413,Otras,2015,"15 Navarra, Comunidad Foral de",74
414,Otras,2015,16 País Vasco,275
415,Otras,2015,"17 Rioja, La",44
416,Otras,2015,18 Ceuta,0
417,Otras,2015,19 Melilla,0
418,Por fusión,2015,01 Andalucía,185
419,Por fusión,2015,02 Aragón,76
420,Por fusión,2015,"03 Asturias, Principado de",31
421,Por fusión,2015,"04 Balears, Illes",71
422,Por fusión,2015,05 Canarias,52
423,Por fusión,2015,06 Canarias,13
424,Por fusión,2015,07 Castilla y León,98
425,Por fusión,2015,08 Castilla-La Mancha,58
426,Por fusión,2015,09 Cataluña,146
427,Por fusión,2015,10 Comunitat Valenciana,133
428,Por fusión,2015,11 Extremadura,12
429,Por fusión,2015,12 Galicia,104
430,Por fusión,2015,"13 Madrid, Comunidad de",668
431,Por fusión,2015,"14 Murcia, Región de",49
432,Por fusión,2015,"15 Navarra, Comunidad Foral de",34
433,Por fusión,2015,16 País Vasco,196
434,Por fusión,2015,"17 Rioja, La",3
435,Por fusión,2015,18 Ceuta,1
436,Por fusión,2015,19 Melilla,1
437,Voluntaria,2015,01 Andalucía,2235
438,Voluntaria,2015,02 Aragón,528
439,Voluntaria,2015,"03 Asturias, Principado de",291
440,Voluntaria,2015,"04 Balears, Illes",632
441,Voluntaria,2015,05 Canarias,695
442,Voluntaria,2015,06 Canarias,166
443,Voluntaria,2015,07 Castilla y León,849
444,Voluntaria,2015,08 Castilla-La Mancha,253
445,Voluntaria,2015,09 Cataluña,1260
446,Voluntaria,2015,10 Comunitat Valenciana,1038
