Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M08;19,25
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M07;19,6
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M06;19,55
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M05;20,09
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M04;19,23
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M03;18,21
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M02;17,31
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2023M01;18,49
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M12;19,55
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M11;18,83
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M10;17,3
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M09;17,7
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M08;18,63
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M07;18,57
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M06;19,42
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M05;19,42
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M04;18,35
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M03;17,51
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M02;22,16
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2022M01;19,97
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M12;20,92
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M11;19,72
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M10;19,57
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M09;20,78
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M08;20,52
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M07;19,36
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M06;20,87
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M05;20,38
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M04;19,66
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M03;19,17
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M02;19,91
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2021M01;19,08
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M12;19,56
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M11;19,65
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M10;22,05
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M09;15,01
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M08;19,11
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M07;17,58
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M06;18,94
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M05;20,8
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M04;20,8
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M03;21,14
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M02;20,32
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2020M01;19,33
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2019M12;23,12
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2019M11;21,58
Disueltas;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;2019M10;21,56
