Provincias;Clase de disolución;Periodo;Total
03 Alicante/Alacant;Por fusión;2021M01;0
03 Alicante/Alacant;Por fusión;2020M12;0
03 Alicante/Alacant;Por fusión;2020M11;0
03 Alicante/Alacant;Por fusión;2020M10;0
03 Alicante/Alacant;Por fusión;2020M09;0
03 Alicante/Alacant;Por fusión;2020M08;0
03 Alicante/Alacant;Por fusión;2020M07;0
03 Alicante/Alacant;Por fusión;2020M06;0
03 Alicante/Alacant;Por fusión;2020M05;0
03 Alicante/Alacant;Por fusión;2020M04;0
03 Alicante/Alacant;Por fusión;2020M03;0
03 Alicante/Alacant;Por fusión;2020M02;0
03 Alicante/Alacant;Por fusión;2020M01;0
03 Alicante/Alacant;Por fusión;2019M12;0
03 Alicante/Alacant;Por fusión;2019M11;0
03 Alicante/Alacant;Por fusión;2019M10;0
03 Alicante/Alacant;Por fusión;2019M09;0
03 Alicante/Alacant;Por fusión;2019M08;0
03 Alicante/Alacant;Por fusión;2019M07;0
03 Alicante/Alacant;Por fusión;2019M06;0
03 Alicante/Alacant;Por fusión;2019M05;0
03 Alicante/Alacant;Por fusión;2019M04;0
03 Alicante/Alacant;Por fusión;2019M03;0
03 Alicante/Alacant;Por fusión;2019M02;0
03 Alicante/Alacant;Por fusión;2019M01;0
03 Alicante/Alacant;Por fusión;2018M12;0
03 Alicante/Alacant;Por fusión;2018M11;0
03 Alicante/Alacant;Por fusión;2018M10;0
03 Alicante/Alacant;Por fusión;2018M09;0
03 Alicante/Alacant;Por fusión;2018M08;0
03 Alicante/Alacant;Por fusión;2018M07;0
03 Alicante/Alacant;Por fusión;2018M06;0
03 Alicante/Alacant;Por fusión;2018M05;0
03 Alicante/Alacant;Por fusión;2018M04;0
03 Alicante/Alacant;Por fusión;2018M03;0
03 Alicante/Alacant;Por fusión;2018M02;0
03 Alicante/Alacant;Por fusión;2018M01;1
03 Alicante/Alacant;Por fusión;2017M12;0
03 Alicante/Alacant;Por fusión;2017M11;0
03 Alicante/Alacant;Por fusión;2017M10;0
03 Alicante/Alacant;Por fusión;2017M09;0
03 Alicante/Alacant;Por fusión;2017M08;0
03 Alicante/Alacant;Por fusión;2017M07;0
03 Alicante/Alacant;Por fusión;2017M06;0
03 Alicante/Alacant;Por fusión;2017M05;0
03 Alicante/Alacant;Por fusión;2017M04;0
