,Comunidad Autónoma,Forma jurídica,Sociedades o Capital desembolsado,Año,Número Sociedades/Capital,Población
1630,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2002,0.0,2.737.370
1631,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2001,0.0,2.732.926
1632,12 Galicia,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2000,8.0,2.731.900
1633,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2022,177.0,2.692.825
1634,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2021,0.0,2.695.645
1635,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2020,922.0,2.701.819
1636,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2019,0.0,2.699.499
1637,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2018,3.0,2.701.743
1638,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2017,168.0,2.708.339
1639,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2016,375.0,2.718.525
1640,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2015,90.0,2.732.347
1641,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2014,0.0,2.748.695
1642,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2013,0.0,2.765.940
1643,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2012,0.0,2.781.498
1644,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2011,0.0,2.795.422
1645,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2010,0.0,2.797.653
1646,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2009,0.0,2.796.089
1647,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2008,0.0,2.784.169
1648,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2007,0.0,2.772.533
1649,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2006,3.0,2.767.524
1650,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2005,0.0,2.762.198
1651,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2004,44.0,2.750.985
1652,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2003,0.0,2.751.094
1653,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2002,0.0,2.737.370
1654,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2001,0.0,2.732.926
1655,12 Galicia,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2000,4.0,2.731.900
1656,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2022,246.0,6.743.254
1657,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2021,189.0,6.751.251
1658,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2020,156.0,6.779.888
1659,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2019,207.0,6.663.394
1660,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2018,228.0,6.578.079
1661,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2017,192.0,6.507.184
1662,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2016,182.0,6.466.996
1663,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2015,339.0,6.436.996
1664,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2014,415.0,6.454.440
1665,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2013,291.0,6.495.551
1666,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2012,239.0,6.498.560
1667,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2011,273.0,6.489.680
1668,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2010,259.0,6.458.684
1669,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2009,241.0,6.386.932
1670,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2008,478.0,6.271.638
1671,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2007,709.0,6.081.689
1672,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2006,727.0,6.008.183
1673,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2005,685.0,5.964.143
1674,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2004,736.0,5.804.829
1675,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2003,913.0,5.718.942
1676,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2002,1.232,5.527.152
1677,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2001,1.528,5.372.433
1678,"13 Madrid, Comunidad de",S.A.,Número de Sociedades,2000,2.258,5.205.408
1679,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2022,123.766,6.743.254
1680,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2021,79.049,6.751.251
1681,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2020,129.238,6.779.888
1682,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2019,61.762,6.663.394
1683,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2018,126.969,6.578.079
1684,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2017,90.631,6.507.184
1685,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2016,941.478,6.466.996
1686,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2015,,6.436.996
1687,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2014,,6.454.440
1688,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2013,493.312,6.495.551
1689,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2012,,6.498.560
1690,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2011,,6.489.680
1691,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2010,485.837,6.458.684
1692,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2009,232.649,6.386.932
1693,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2008,937.636,6.271.638
1694,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2007,,6.081.689
1695,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2006,,6.008.183
1696,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2005,,5.964.143
1697,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2004,729.212,5.804.829
1698,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2003,907.038,5.718.942
1699,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2002,,5.527.152
1700,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2001,,5.372.433
1701,"13 Madrid, Comunidad de",S.A.,capital (en miles de euros) desembolsado,2000,,5.205.408
1702,"13 Madrid, Comunidad de",S.L.,Número de Sociedades,2022,22.589,6.743.254
1703,"13 Madrid, Comunidad de",S.L.,Número de Sociedades,2021,23.502,6.751.251
1704,"13 Madrid, Comunidad de",S.L.,Número de Sociedades,2020,17.809,6.779.888
1705,"13 Madrid, Comunidad de",S.L.,Número de Sociedades,2019,21.577,6.663.394
1706,"13 Madrid, Comunidad de",S.L.,Número de Sociedades,2018,21.408,6.578.079
1707,"13 Madrid, Comunidad de",S.L.,Número de Sociedades,2017,20.222,6.507.184
